puntaje,titulo,institucion,cantidad_opiniones
4.672544080604534,Introduction to C# Programming and Unity,University of Colorado System,397
4.8815566835871405,Introduction to Psychology,University of Toronto,1182
4.852736318407961,Introduction to Psychology,Yale University,3015
4.67515923566879,Introduction to Statistics & Data Analysis in Public Health,Imperial College London,157
4.650616332819722,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,2596
4.737288135593221,Introduction to Artificial Intelligence (AI),IBM,1298
4.878402903811252,Introduction to Calculus,The University of Sydney,551
4.819277108433735,Introduction to Cloud Computing,IBM,83
3.920289855072464,Introduction to Computer Programming,University of London,138
4.6,Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,35
4.777777777777778,Introduction to Data Analytics,IBM,18
4.548746518105849,Introduction to Software Product Management,University of Alberta,1077
3.463768115942029,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,138
4.7591623036649215,Introduction to User Experience Principles and Processes,University of Michigan,191
4.488188976377953,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,127
4.763485477178423,IT Security: Defense against the digital dark arts,Google,1446
3.611111111111111,Japanese for beginners 1,Saint Petersburg State University,36
4.435828877005347,Java Programming: Solving Problems with Software,Duke University,1122
4.819536423841059,English for Journalism,University of Pennsylvania,604
4.557632398753894,Kotlin for Java Developers,JetBrains,321
4.680412371134021,A Law Student's Toolkit,Yale University,291
4.745762711864407,Leadership in 21st Century Organizations,Copenhagen Business School,236
4.7105263157894735,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,38
4.796844181459566,Chinese for Beginners,Peking University,3549
4.869848156182212,First Step Korean,Yonsei University,5993
4.896234309623431,Learn to Speak Korean 1,Yonsei University,1195
4.734966592427617,Learn to Program: The Fundamentals,University of Toronto,1347
4.801196192401651,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,11871
4.386363636363637,Legal Tech & Startups,IE Business School,44
4.968,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,125
4.57273280584297,Mathematics for Machine Learning: Linear Algebra,Imperial College London,1643
4.712328767123288,Love as a Force for Social Justice,Stanford University,73
4.739922694643843,Machine Learning,Stanford University,12677
4.574370709382151,Machine Learning for Business Professionals,Google Cloud,874
4.655813953488372,Introduction to Machine Learning,Duke University,215
4.7074718526100305,Structuring Machine Learning Projects,DeepLearning.AI,4885
4.492443324937028,Machine Learning with Python,IBM,1588
4.7112970711297075,Management of Fashion and Luxury Companies,Università Bocconi,956
4.54353562005277,Magic in the Middle Ages,Universitat de Barcelona,379
4.823275862068965,Making Architecture,IE School of Architecture & Design,232
4.818545697131421,Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,1499
4.73404255319149,Managing as a Coach,"University of California, Davis",282
4.835942818243703,Preparing to Manage Human Resources,University of Minnesota,1469
4.725449335764522,Marketing in a Digital World,University of Illinois at Urbana-Champaign,3839
4.722745625841184,Marketing Gerencial,Universidad de Chile,743
4.45945945945946,Mastering Final Cut Pro,LearnQuest,37
4.786036036036036,Introduction to Mathematical Thinking,Stanford University,444
4.627403846153846,Математика и Python для анализа данных,Moscow Institute of Physics and Technology,832
4.811858974358974,Introduction to Programming with MATLAB,Vanderbilt University,3120
4.757009345794392,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",107
4.904135338345864,Medical Neuroscience,Duke University,532
4.925093632958801,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,267
4.258620689655173,Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,58
4.614457831325301,The Social Context of Mental Health and Illness,University of Toronto,83
4.7370517928286855,Gut Check: Exploring Your Microbiome,University of Colorado Boulder,251
4.8293333333333335,Microeconomics Principles,University of Illinois at Urbana-Champaign,375
4.842684268426843,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,2727
4.487741456166419,Machine Learning Foundations: A Case Study Approach,University of Washington,2692
4.772251308900524,Model Thinking,University of Michigan,382
4.780016792611251,Modern Art & Ideas,The Museum of Modern Art,1191
4.815175097276264,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,514
4.793103448275862,"The Modern World, Part Two: Global History since 1910",University of Virginia,290
4.887719298245614,Economics of Money and Banking,Columbia University,285
4.871060171919771,Moral Foundations of Politics,Yale University,698
4.840909090909091,Moralities of Everyday Life,Yale University,572
4.828644501278772,Inspiring and Motivating Individuals,University of Michigan,782
4.642241379310345,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,696
4.856209150326797,Music Business Foundations,Berklee College of Music,459
4.263736263736264,Getting Started With Music Theory,Michigan State University,182
4.775743707093821,Greek and Roman Mythology,University of Pennsylvania,437
4.956989247311828,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,93
4.84,Nanotechnology: A Maker’s Course,Duke University,450
4.254062038404727,Natural Language Processing in TensorFlow,DeepLearning.AI,677
4.818181818181818,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,715
4.883429672447013,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,1038
4.805507145346811,Successful Negotiation: Essential Strategies and Skills,University of Michigan,2869
4.77123332248617,Neural Networks and Deep Learning,DeepLearning.AI,12292
4.897435897435898,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,507
4.612903225806452,Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,279
4.648648648648648,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,518
4.639498432601881,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,319
4.633866481223922,Sequence Models,DeepLearning.AI,2876
4.6061381074168795,"Social Norms, Social Change I",Unicef,391
