titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
Shakespeare's Hamlet: The Ghost,38331.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,49.0
FlashDiet: Aprende a comer sano,48105.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Food & Nutrition,Español,5,50.0
CS50's Understanding Technology,50030.0,Self-paced on your time,Harvard University,Introductory,Computer Science,English,6,90.0
Introduction to Aerospace Structures and Materials,37126.0,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,8,50.0
Visualizing Data with Python,42101.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,5,39.0
Success: Practical Thinking Skills,24414.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Philosophy & Ethics,English,4,50.0
English for Doing Business in Asia – Speaking,68422.0,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,7,60.0
Nutrition and Health: Macronutrients and Overnutrition,208582.0,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,9,99.0
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771.0,Self-paced on your time,Harvard University,Introductory,History,English,15,139.0
Introduction to Clinical Psychology,57234.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,7,99.0
Modern Masterpieces of World Literature,48049.0,Self-paced on your time,Harvard University,Introductory,Literature,English,8,99.0
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4,49.0
Applied Scrum for Agile Project Management,55293.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4,199.0
Corporate Finance,62798.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,5,150.0
Judaism Through Its Scriptures,50540.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Excel avanzado: importación y análisis de datos,47184.0,Self-paced on your time,Universitat Politècnica de Valencia,Advanced,Data Analysis & Statistics,Español,8,75.0
CSS Basics,95163.0,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,5,199.0
Unlocking Information Security: Part I,19905.0,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,6,149.0
Becoming an Effective Leader,55937.0,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,10,99.0
Digital Branding and Engagement,122977.0,Self-paced on your time,Curtin University,Intermediate,Communication,English,4,99.0
Introduction to Cybersecurity,73021.0,Self-paced on your time,University of Washington,Introductory,Computer Science,English,6,199.0
General Academic English|生活英语进阶,17526.0,Self-paced on your time,Tsinghua University,Introductory,Language,English,8,49.0
