titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
Micro and Nanofabrication (MEMS),16094.0,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Engineering,English,7,199.0
Scientific Methods and Research,7501.0,Self-paced on your time,Ural Federal University,Intermediate,Science,English,5,49.0
Customer Centric Marketing for Entrepreneurs,14003.0,Self-paced on your time,Babson College,Intermediate,Business & Management,English,4,149.0
Dog Behavior: Problems and Solutions,16467.0,Self-paced on your time,Arizona State University,Intermediate,Social Sciences,English,3,169.0
The Business of Mining,20406.0,Self-paced on your time,Curtin University,Introductory,Business & Management,English,4,139.0
"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522.0,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,8,199.0
The Business of Aging in the Longevity Economy,,Self-paced on your time,Georgetown University,Introductory,Social Sciences,English,4,139.0
Understanding the Australian Health Care System,8343.0,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,9,59.0
Age of Sustainable Development,10019.0,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,14,49.0
Internationalization: Creating Digital Content for the World,,Self-paced on your time,University of Washington,Advanced,Computer Science,English,4,199.0
Multi-Object Tracking for Automotive Systems,8581.0,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,10,249.0
Economics and Policies in a Biobased Economy,,Self-paced on your time,Wageningen University & Research,Advanced,Energy & Earth Sciences,English,4,149.0
Strategic Leadership in Healthcare,6237.0,Self-paced on your time,Doane University,Intermediate,Business & Management,English,5,199.0
Terrorism and Counterterrorism: An Introduction,14128.0,Self-paced on your time,Georgetown University,Introductory,Humanities,English,3,49.0
Exploring Psychology's Core Concepts|走进心理学,5741.0,Self-paced on your time,Tsinghua University,Introductory,Social Sciences,English,6,139.0
Creating Virtual Reality (VR) Apps,22349.0,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,6,99.0
Análisis Multivariable en SPSS,,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,5,49.0
Steps in Japanese for Beginners2 Part1,,Self-paced on your time,Waseda University,Introductory,Language,English,5,99.0
"Competencias para buscar, mantener y promocionar en un empleo",,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Social Sciences,Español,4,49.0
Dynamics and Control,27763.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,English,6,50.0
Finding Your Cybersecurity Career Path,19283.0,Self-paced on your time,University of Washington,Introductory,Computer Science,English,6,199.0
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,6,29.0
Mechanics: Rotational Dynamics,13183.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,12,49.0
Applying Health Coaching in Patient Care,,Self-paced on your time,Doane University,Introductory,Medicine,English,3,199.0
Databases: Modeling and Theory,,Self-paced on your time,Stanford University,Introductory,Computer Science,English,2,50.0
"Islamic Banking: Principles, Practice and Risk Management",,Self-paced on your time,The Islamic Research and Training Institute,Introductory,Economics & Finance,English,4,49.0
Liderazgo orientado al florecimiento humano,7911.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4,149.0
Software Construction: Object-Oriented Design,23100.0,Self-paced on your time,University of British Columbia,Intermediate,Computer Science,English,6,125.0
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,7,199.0
Fondements de l’économie sociale et solidaire,,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Social Sciences,Français,12,50.0
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941.0,Self-paced on your time,Columbia University,Introductory,History,English,12,50.0
Innovation Strategies for Electric Mobility: The StreetScooter Case,,Self-paced on your time,RWTH Aachen University,Intermediate,Business & Management,English,6,99.0
Sustainable Energy,,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Energy & Earth Sciences,English,13,149.0
Designing and Leading Learning Systems,11895.0,Self-paced on your time,The University of Michigan,Advanced,Education & Teacher Training,English,8,199.0
How the U.S. Government Works & How to Get Involved,5930.0,Self-paced on your time,Georgetown University,Introductory,Social Sciences,English,6,49.0
Inspiring and Motivating Arts and Culture Teams,10817.0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,5,49.0
Principles of Microeconomics: An Economist Way of Thinking,,Self-paced on your time,The University of Queensland,Intermediate,Economics & Finance,English,6,149.0
A System View of Communications: From Signals to Packets (Part 1),34261.0,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,7,60.0
"Invasions, Rebellions, and the Fall of Imperial China",41537.0,Self-paced on your time,Harvard University,Introductory,History,English,15,139.0
AP® English Literature & Composition – Part 3: Plays,6443.0,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,7,49.0
Cómo implantar grupos de mejora de procesos,28100.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,8,150.0
Proteins: Biology's Workforce,25893.0,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,5,169.0
Introducción a los ritmos y relojes biológicos,6149.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,4,50.0
Linear Algebra I: Linear Equations,,Self-paced on your time,The Georgia Institute of Technology,Intermediate,Math,English,3,199.0
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205.0,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Engineering,English,7,169.0
Fundamentos de Electromagnetismo para Ingeniería,15040.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Physics,Español,7,49.0
Sustainable Food Systems: A Mediterranean Perspective,6480.0,Self-paced on your time,SDG Academy,Intermediate,Food & Nutrition,English,10,49.0
Scripting and Programming Foundations,,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,8,299.7
Using GPUs to Scale and Speed-up Deep Learning,9294.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,5,99.0
StudioX: Creating a Course with edX Studio,20355.0,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,3,99.0
The Power of Data,,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,2,49.0
Introducción a las ondas gravitacionales,8657.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,4,50.0
Drones and Autonomous Systems 2: Applications in Emergency Management,,Self-paced on your time,University of Maryland Global Campus-University System of Maryland,Intermediate,Science,English,6,149.0
MathTrackX: Differential Calculus,,Self-paced on your time,University of Adelaide,Introductory,Math,English,4,79.0
Global China: From the Mongols to the Ming,41902.0,Self-paced on your time,Harvard University,Introductory,History,English,15,139.0
Leaders in Citizen Security and Justice Management for the Caribbean,,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,English,10,25.0
Pattern Studying and Making | 图案审美与创作,,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,中文,12,139.0
Computational Neuroscience: Neuronal Dynamics of Cognition,11246.0,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Biology & Life Sciences,English,6,139.0
Cities and the Challenge of Sustainable Development,8775.0,Self-paced on your time,SDG Academy,Introductory,Environmental Studies,English,1,25.0
MathTrackX: Special Functions,,Self-paced on your time,University of Adelaide,Introductory,Math,English,4,79.0
